year,fall,spring
1977,3.278842003652023,-0.8780136239028965
1978,-1.1824564668028887,-0.22054049945203738
1979,-1.7054765230096103,-1.0353275422456067
1980,-2.2844417363482923,-2.671883322230289
1981,-3.047344281917575,-0.6163733379862526
1982,-1.3826478649217067,-2.193314618910526
1983,-2.3646479121824138,-4.101478313783383
1984,-2.314527911117331,-2.881131832307927
1985,-1.6465891961081702,-2.846829619843699
1986,-1.2651266609376752,-2.818403122197648
1987,-0.4078580429268065,-0.20643576553149565
1988,-0.26316284529535705,-1.4525013445157433
1989,-1.4071751667142345,-3.2838926338566106
1990,-3.191611995124709,0.46999929930532236
1991,-1.6412109207200143,NA
1992,-1.2402911300765695,-3.02707111575135
1993,-2.5823824827602717,-2.6623825287806766
1994,-0.8270691590488906,-0.7275747915719576
1995,-1.6448558556125454,-0.037618088916170855
1996,-2.7001451865009907,2.285826072010163
1997,-1.4772018635920263,-1.9385415204663397
1998,-3.9412131861785116,-1.7911016425754716
1999,-0.730807791314624,-1.767954298781129
2000,-3.3262089669586166,-0.7171564327884816
2001,0.44604794116044205,0.4660035979121243
2002,-1.5051451073202626,-2.519463661268414
2003,-0.6617752471453747,-1.2054289914337604
2004,0.17348405064563632,-2.1604106729261847
2005,-1.1919528646772863,-2.7713179362559512
2006,-0.8795022379735471,-2.6044143331824965
2007,0.3618899410649436,-2.2873471267284766
2008,-0.5506319780282394,-4.395578428554313
2009,-1.6414032575573885,-0.6508725865206535
2010,-2.1296144313704577,-1.201163958225913
2011,-1.5835722998004351,-0.754879011355284
2012,-3.236444585584997,-0.7920936458679332
2013,-1.8067404407381222,-3.6754041770811154
2014,-3.0745985212869895,-0.8316615097474741
2015,-3.794242762677264,-1.1619848774614683
2016,-2.531775951581721,-1.7838825140418142
2017,-4.008799869020328,-1.2231680424051004
